d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.17427] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.18180] added dtor for bitmap 000001F59D7A4B50, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.18446] added dtor for bitmap 000001F59D7A37F0, func 00007FFC12CA118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18894] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18930] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18950] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18964] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18975] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18984] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19009] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19023] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19042] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.19049] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.19057] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.19066] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.19076] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.19243] added dtor for bitmap 000001F59D7A4D40, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19466] added dtor for sub_bitmap 000001F59D7A3030, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19479] added dtor for sub_bitmap 000001F59D7A39E0, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19488] added dtor for sub_bitmap 000001F59D7A3BD0, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19495] added dtor for sub_bitmap 000001F59D7A3410, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19502] added dtor for sub_bitmap 000001F59D7A3DC0, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19511] added dtor for sub_bitmap 000001F59D844D70, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19519] added dtor for sub_bitmap 000001F59D843A10, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19526] added dtor for sub_bitmap 000001F59D845530, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19533] added dtor for sub_bitmap 000001F59D8443C0, func 00007FFC12CA118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19540] added dtor for sub_bitmap 000001F59D843C00, func 00007FFC12CA118B
